 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 21041.35 0.09 0.00 -55.92 -4202.137 2.353
 1.00 3.00 6.00 8.00 33070.68 0.13 0.00 -70.34 -943.500 2.353
 1.00 3.00 8.00 10.00 11579.84 1.12 0.00 49.12 -110.123 2.353
 1.00 3.00 10.00 12.00 13842.02 0.19 0.00 33.96 -59.835 2.353
 1.00 3.00 12.00 14.00 21394.25 0.28 0.00 21.46 -49.797 2.353
 1.00 3.00 14.00 5.00 22080.16 0.22 0.00 -29.87 1951.362 2.353
 1.00 3.00 5.00 7.00 20891.89 0.20 0.00 -69.43 -1303.840 2.353
 1.00 3.00 7.00 9.00 32956.84 0.20 0.00 -40.62 -514.200 2.353
 1.00 3.00 9.00 11.00 9236.01 0.49 0.00 207.35 -57.641 2.353
 1.00 3.00 11.00 13.00 19431.05 1.31 0.00 -124.58 -60.634 2.353
 1.00 3.00 13.00 15.00 14449.59 1.64 0.00 42.71 -25.709 2.348
 1.00 5.00 13.00 17.00 10734.79 3.16 0.00 27.31 -57.026 1.602
 1.00 5.00 17.00 21.00 22099.63 4.87 0.00 41.62 -46.960 1.602
 1.00 5.00 21.00 25.00 10348.28 0.27 0.00 -17.79 -10.995 1.602
 1.00 5.00 25.00 29.00 9539.20 0.38 0.00 -97.21 -5.791 1.602
 1.00 5.00 29.00 14.00 12430.85 0.17 0.00 105.65 89.499 1.602
 1.00 5.00 14.00 18.00 13983.73 0.08 0.00 -62.52 -57.366 1.602
 1.00 5.00 18.00 22.00 10749.30 0.10 0.00 27.49 -18.899 1.602
 1.00 5.00 22.00 26.00 -5456.59 21.84 0.00 -36.63 4.989 1.602
 1.00 5.00 26.00 30.00 29449.89 7.61 0.00 -24.94 -15.783 1.602
 1.00 5.00 15.00 19.00 12735.86 0.29 0.00 -14.46 -40.967 1.592
 1.00 5.00 19.00 23.00 13262.38 0.29 0.00 -45.50 -19.391 1.592
 1.00 5.00 23.00 27.00 10613.09 2.93 0.00 -0.80 -8.356 1.592
 1.00 5.00 27.00 31.00 11432.05 0.26 0.00 -4.25 -5.400 1.592
 1.00 5.00 31.00 16.00 12061.21 0.16 0.00 -17.03 58.398 1.592
 1.00 5.00 16.00 20.00 5688.73 14.68 0.00 89.31 -14.709 1.592
 1.00 5.00 20.00 24.00 -152097.73 20.36 0.00 -65.55 188.085 1.592
 1.00 5.00 24.00 28.00 331685.84 17.70 0.00 -53.53 -227.869 1.592
 1.00 7.00 27.00 33.00 7149.40 0.32 0.00 9.98 -12.428 2.524
 1.00 7.00 33.00 39.00 6529.51 0.78 0.00 -0.97 -5.974 2.524
 1.00 7.00 39.00 45.00 7568.68 0.63 0.00 -52.44 -4.092 2.524
 1.00 7.00 45.00 28.00 6900.17 0.15 0.00 -9.34 19.387 2.524
 1.00 7.00 28.00 34.00 6240.26 0.22 0.00 81.24 -9.647 2.524
 1.00 7.00 34.00 40.00 8110.84 0.19 0.00 -44.71 -6.752 2.524
 1.00 7.00 40.00 46.00 6857.14 0.14 0.00 43.84 -3.425 2.524
 1.00 7.00 46.00 29.00 7054.61 0.18 0.00 -51.48 17.917 2.524
 1.00 7.00 29.00 35.00 7019.17 0.30 0.00 -5.13 -9.694 2.524
 1.00 7.00 35.00 41.00 6762.99 0.29 0.00 47.41 -5.137 2.524
 1.00 7.00 41.00 47.00 14865.95 27.75 0.00 137.41 -6.837 2.511
 1.00 7.00 47.00 30.00 8323.89 9.93 0.00 -173.17 19.076 2.511
 1.00 7.00 30.00 36.00 6082.74 0.14 0.00 -53.05 -7.497 2.511
 1.00 7.00 36.00 42.00 4466.34 0.61 0.00 96.14 -3.088 2.511
 1.00 7.00 42.00 31.00 3480.90 0.33 0.00 -28.00 5.776 2.511
 1.00 7.00 31.00 37.00 4049.58 0.12 0.00 -22.28 -4.495 2.511
 1.00 7.00 37.00 43.00 7056.08 0.28 0.00 80.53 -4.476 2.511
 1.00 7.00 43.00 32.00 5937.03 0.22 0.00 -99.70 8.954 2.511
 1.00 7.00 32.00 38.00 5050.87 0.29 0.00 90.60 -5.068 2.511
 1.00 7.00 38.00 44.00 7743.43 0.33 0.00 -29.26 -4.517 2.511
 1.00 9.00 41.00 49.00 294027.44 4.08 0.00 103.24 -463.864 4.758
 1.00 9.00 49.00 57.00 -474881.75 4.43 0.00 -32.15 428.105 4.758
 1.00 9.00 57.00 42.00 25424.02 2.00 0.00 -63.92 56.537 4.758
 1.00 9.00 42.00 50.00 13923.88 0.64 0.00 43.69 -20.357 4.758
 1.00 9.00 50.00 58.00 40660.77 3.02 0.00 5.53 -34.417 4.758
 1.00 9.00 58.00 43.00 13481.61 0.80 0.00 -19.15 27.952 4.758
 1.00 9.00 43.00 51.00 12848.56 1.32 0.00 29.75 -17.443 4.758
 1.00 9.00 51.00 59.00 7135.67 6.01 0.00 -11.24 -5.679 4.758
 1.00 9.00 59.00 44.00 10271.15 2.94 0.00 -57.33 19.888 4.758
 1.00 9.00 44.00 52.00 -8783.16 5.98 0.00 86.91 11.092 4.758
 1.00 9.00 52.00 60.00 2362596.75 1.18 0.00 141.67 -1756.668 4.722
 1.00 9.00 60.00 45.00 975530.56 1.11 0.00 -286.54 1753.677 4.722
 1.00 9.00 45.00 53.00 6789.16 0.51 0.00 32.49 -7.930 4.722
 1.00 9.00 53.00 61.00 -3281.16 7.97 0.00 76.40 2.299 4.722
 1.00 9.00 61.00 46.00 2783.04 3.05 0.00 -38.46 4.687 4.722
 1.00 9.00 46.00 54.00 3103.92 1.20 0.00 4.35 -3.384 4.722
 1.00 9.00 54.00 62.00 -50403.80 11.76 0.00 -26.55 33.330 4.722
 1.00 9.00 62.00 47.00 -10882.77 21.89 0.00 137.72 -17.195 4.722
 1.00 9.00 47.00 55.00 29349.89 0.14 0.00 -41.54 -29.913 4.722
 1.00 9.00 55.00 63.00 -44545.75 22.51 0.00 -37.29 27.826 4.722
 1.00 9.00 48.00 56.00 29009.69 0.25 0.00 86.46 -27.858 4.752
 2.00 4.00 5.00 7.00 13500.02 8.33 0.00 48.36 -52.405 0.046
 2.00 4.00 14.00 16.00 12274.59 0.38 0.00 -99.55 -19.172 2.061
 2.00 4.00 7.00 9.00 48665.96 0.83 0.00 -47.13 -1208.600 2.048
 2.00 4.00 9.00 11.00 14173.64 1.08 0.00 27.85 -117.332 2.048
 2.00 4.00 11.00 13.00 26188.97 0.63 0.00 -124.78 -98.544 2.048
 2.00 4.00 13.00 15.00 17150.09 4.12 0.00 39.85 -34.748 2.048
 2.00 4.00 15.00 6.00 38150.45 0.85 0.00 -16.56 2934.904 2.048
 2.00 4.00 6.00 8.00 46100.09 0.86 0.00 -67.45 -2504.420 2.048
 2.00 4.00 8.00 10.00 18310.27 0.91 0.00 55.29 -248.680 2.048
 2.00 4.00 10.00 12.00 17137.23 0.89 0.00 26.88 -93.099 2.048
 2.00 4.00 12.00 14.00 27767.79 0.92 0.00 22.26 -75.425 2.048
 2.00 6.00 14.00 18.00 12469.97 0.18 0.00 -62.37 -181.125 4.381
 2.00 6.00 18.00 22.00 9075.28 0.28 0.00 26.19 -52.727 4.381
 2.00 6.00 22.00 26.00 12877.15 4.28 0.00 -34.74 -37.408 4.381
 2.00 6.00 26.00 30.00 1801.89 49.29 0.00 -28.00 -2.991 4.381
 2.00 6.00 30.00 15.00 11462.98 0.26 0.00 80.97 225.657 4.381
 2.00 6.00 15.00 19.00 13218.23 0.26 0.00 -16.90 -148.266 4.381
 2.00 6.00 19.00 23.00 9393.54 0.23 0.00 -43.94 -45.157 4.381
 2.00 6.00 23.00 27.00 9264.14 0.88 0.00 -0.03 -23.158 4.381
 2.00 6.00 27.00 31.00 9881.23 0.04 0.00 -4.31 -14.480 4.381
 2.00 6.00 16.00 20.00 12382.34 0.43 0.00 102.86 -109.346 4.370
 2.00 6.00 20.00 24.00 -30969.97 23.90 0.00 -88.33 124.314 4.370
 2.00 6.00 24.00 28.00 83825.97 16.09 0.00 -45.81 -181.181 4.370
 2.00 6.00 28.00 32.00 8291.49 0.20 0.00 8.01 -10.753 4.370
 2.00 6.00 32.00 17.00 11179.91 0.12 0.00 90.00 148.610 4.370
 2.00 6.00 17.00 21.00 13374.97 0.21 0.00 48.36 -94.942 4.370
 2.00 6.00 21.00 25.00 8510.91 0.21 0.00 -18.82 -28.894 4.370
 2.00 6.00 25.00 29.00 12306.25 0.19 0.00 -96.13 -23.210 4.370
 2.00 8.00 28.00 34.00 8566.71 0.41 0.00 84.26 -22.132 3.752
 2.00 8.00 34.00 40.00 10295.34 0.25 0.00 -46.24 -13.999 3.752
