 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 23025.00 0.14 0.00 -21.11 -6542.844 3.348
 1.00 3.00 6.00 8.00 35214.41 0.14 0.00 11.05 -1429.517 3.348
 1.00 3.00 8.00 10.00 13832.44 0.07 0.00 9.83 -187.174 3.348
 1.00 3.00 10.00 12.00 18135.13 0.38 0.00 -118.31 -111.544 3.348
 1.00 3.00 12.00 14.00 14766.03 0.06 0.00 31.63 -48.904 3.348
 1.00 3.00 14.00 5.00 24947.62 0.12 0.00 29.89 3137.148 3.348
 1.00 3.00 5.00 7.00 24265.28 0.13 0.00 -58.26 -2154.777 3.348
 1.00 3.00 7.00 9.00 35214.34 0.12 0.00 -41.77 -781.765 3.348
 1.00 3.00 9.00 11.00 12099.47 0.06 0.00 191.19 -107.444 3.348
 1.00 3.00 11.00 13.00 16150.71 0.00 0.00 -71.44 -71.710 3.348
 1.00 3.00 13.00 15.00 15052.60 0.74 0.00 -51.36 -53.370 4.678
 1.00 5.00 13.00 17.00 12511.86 0.16 0.00 -33.98 -165.094 3.980
 1.00 5.00 17.00 21.00 15237.29 1.35 0.00 68.37 -80.423 3.980
 1.00 5.00 21.00 25.00 9719.05 0.30 0.00 -68.91 -25.649 3.980
 1.00 5.00 25.00 29.00 9104.43 0.24 0.00 -33.32 -13.730 3.980
 1.00 5.00 29.00 14.00 11902.45 0.22 0.00 19.87 212.856 3.980
 1.00 5.00 14.00 18.00 13321.34 0.21 0.00 -9.97 -135.742 3.980
 1.00 5.00 18.00 22.00 10101.42 0.19 0.00 107.84 -44.114 3.980
 1.00 5.00 22.00 26.00 9502.56 0.41 0.00 -151.00 -21.579 3.980
 1.00 5.00 26.00 30.00 10487.79 0.11 0.00 58.72 -13.961 3.980
 1.00 5.00 15.00 19.00 13113.27 0.38 0.00 -86.42 -105.464 3.979
 1.00 5.00 19.00 23.00 11233.09 0.48 0.00 102.09 -41.065 3.979
 1.00 5.00 23.00 27.00 10762.05 0.15 0.00 33.26 -21.185 3.979
 1.00 5.00 27.00 31.00 11018.71 0.07 0.00 -102.79 -13.014 3.979
 1.00 5.00 31.00 16.00 11633.55 0.04 0.00 157.62 140.836 3.979
 1.00 5.00 16.00 20.00 11927.58 0.66 0.00 -42.76 -77.110 3.979
 1.00 5.00 20.00 24.00 11512.16 0.87 0.00 -24.73 -35.594 3.979
 1.00 5.00 24.00 28.00 11045.01 0.41 0.00 -29.34 -18.972 3.979
 1.00 7.00 27.00 33.00 7588.87 0.05 0.00 43.29 -30.484 5.833
 1.00 7.00 33.00 39.00 6320.99 0.10 0.00 -135.02 -13.364 5.833
 1.00 7.00 39.00 45.00 6907.11 0.05 0.00 8.84 -8.629 5.833
 1.00 7.00 45.00 28.00 6906.83 0.03 0.00 39.58 44.843 5.833
 1.00 7.00 28.00 34.00 6575.07 0.05 0.00 -25.06 -23.488 5.833
 1.00 7.00 34.00 40.00 7633.46 0.11 0.00 13.83 -14.684 5.833
 1.00 7.00 40.00 46.00 6656.86 0.12 0.00 92.18 -7.683 5.833
 1.00 7.00 46.00 29.00 6988.44 0.03 0.00 -98.82 41.013 5.833
 1.00 7.00 29.00 35.00 7074.45 0.10 0.00 -9.07 -22.578 5.833
 1.00 7.00 35.00 41.00 6692.01 0.21 0.00 56.83 -11.747 5.833
 1.00 7.00 41.00 47.00 11153.96 0.65 0.00 55.36 -11.916 5.833
 1.00 7.00 47.00 30.00 7298.99 0.28 0.00 -78.96 38.855 5.833
 1.00 7.00 30.00 36.00 5956.90 0.00 0.00 -74.84 -17.055 5.833
 1.00 7.00 36.00 42.00 7194.07 0.42 0.00 123.03 -11.554 5.833
 1.00 7.00 42.00 31.00 4661.02 0.53 0.00 -111.58 17.965 5.833
 1.00 7.00 31.00 37.00 3843.16 0.00 0.00 76.93 -9.910 5.833
 1.00 7.00 37.00 43.00 6677.47 0.06 0.00 7.04 -9.839 5.833
 1.00 7.00 43.00 32.00 5630.99 0.03 0.00 21.15 19.726 5.833
 1.00 7.00 32.00 38.00 4689.86 0.05 0.00 -65.98 -10.931 5.833
 1.00 7.00 38.00 44.00 7647.74 0.19 0.00 -20.00 -10.364 5.833
 1.00 9.00 41.00 49.00 16088.08 1.24 0.00 21.93 -48.330 9.060
 1.00 9.00 49.00 57.00 11620.14 3.04 0.00 20.82 -19.947 9.060
 1.00 9.00 57.00 42.00 14049.09 0.21 0.00 -17.00 59.491 9.060
