 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 20329.06 0.06 0.00 -100.62 -5860.887 3.396
 1.00 3.00 6.00 8.00 31833.37 0.03 0.00 -42.16 -1311.085 3.396
 1.00 3.00 8.00 10.00 11982.16 0.83 0.00 93.57 -164.498 3.396
 1.00 3.00 10.00 12.00 17953.30 0.70 0.00 -36.26 -112.034 3.396
 1.00 3.00 12.00 14.00 12421.11 0.28 0.00 85.33 -41.737 3.396
 1.00 3.00 14.00 5.00 19896.29 0.10 0.00 -61.00 2538.384 3.396
 1.00 3.00 5.00 7.00 18046.54 0.09 0.00 -82.36 -1625.886 3.396
 1.00 3.00 7.00 9.00 32375.70 0.04 0.00 -47.68 -729.214 3.396
 1.00 3.00 9.00 11.00 8895.34 0.90 0.00 185.30 -80.142 3.396
 1.00 3.00 11.00 13.00 16970.40 0.29 0.00 -95.72 -76.447 3.396
 1.00 3.00 13.00 15.00 18587.35 1.51 0.00 99.37 -47.926 3.402
 1.00 5.00 13.00 17.00 15207.06 0.30 0.00 24.50 -108.583 2.153
 1.00 5.00 17.00 21.00 18769.33 0.68 0.00 10.15 -53.608 2.153
 1.00 5.00 21.00 25.00 12160.62 0.21 0.00 -1.28 -17.366 2.153
 1.00 5.00 25.00 29.00 10136.86 0.34 0.00 -66.91 -8.272 2.153
 1.00 5.00 29.00 14.00 13991.82 0.31 0.00 137.01 135.404 2.153
 1.00 5.00 14.00 18.00 15825.92 0.30 0.00 -127.42 -87.266 2.153
 1.00 5.00 18.00 22.00 11436.77 0.20 0.00 56.52 -27.027 2.153
 1.00 5.00 22.00 26.00 -13469.88 9.51 0.00 -4.09 16.553 2.153
 1.00 5.00 26.00 30.00 51155.97 4.21 0.00 3.38 -36.851 2.153
 1.00 5.00 15.00 19.00 14164.47 0.26 0.00 -144.14 -61.350 2.143
 1.00 5.00 19.00 23.00 12208.89 0.31 0.00 53.47 -24.036 2.143
 1.00 5.00 23.00 27.00 13850.40 0.21 0.00 -11.43 -14.683 2.143
 1.00 5.00 27.00 31.00 11625.21 0.33 0.00 -13.89 -7.394 2.143
 1.00 5.00 31.00 16.00 12956.20 0.18 0.00 86.52 84.469 2.143
 1.00 5.00 16.00 20.00 3429.17 16.39 0.00 -17.20 -11.939 2.143
 1.00 5.00 20.00 24.00 -12211.41 34.90 0.00 -61.28 20.333 2.143
 1.00 5.00 24.00 28.00 92740.07 10.26 0.00 -48.15 -85.790 2.143
 1.00 7.00 27.00 33.00 7066.78 0.15 0.00 34.41 -25.175 5.173
 1.00 7.00 33.00 39.00 6881.26 0.35 0.00 -104.44 -12.902 5.173
 1.00 7.00 39.00 45.00 7495.78 0.32 0.00 18.63 -8.305 5.173
 1.00 7.00 45.00 28.00 6989.48 0.09 0.00 -3.91 40.244 5.173
 1.00 7.00 28.00 34.00 6325.11 0.16 0.00 -0.78 -20.039 5.173
 1.00 7.00 34.00 40.00 8208.56 0.05 0.00 56.44 -14.003 5.173
 1.00 7.00 40.00 46.00 7027.85 0.58 0.00 48.13 -7.193 5.173
 1.00 7.00 46.00 29.00 7123.89 0.16 0.00 -77.69 37.076 5.173
 1.00 7.00 29.00 35.00 6862.79 0.09 0.00 -8.64 -19.424 5.173
 1.00 7.00 35.00 41.00 7298.84 0.04 0.00 76.55 -11.362 5.173
 1.00 7.00 41.00 47.00 8815.03 3.00 0.00 106.95 -8.359 5.177
 1.00 7.00 47.00 30.00 6991.58 0.75 0.00 -110.67 33.034 5.177
 1.00 7.00 30.00 36.00 5879.50 0.15 0.00 -84.81 -14.940 5.177
 1.00 7.00 36.00 42.00 7306.74 0.54 0.00 125.24 -10.416 5.177
 1.00 7.00 42.00 31.00 4835.11 0.64 0.00 -87.39 16.541 5.177
 1.00 7.00 31.00 37.00 4224.43 0.00 0.00 1.01 -9.668 5.177
 1.00 7.00 37.00 43.00 7195.15 0.08 0.00 79.21 -9.410 5.177
 1.00 7.00 43.00 32.00 6119.39 0.04 0.00 -74.45 19.026 5.177
