 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 23002.72 0.12 0.00 -16.35 -7485.863 3.834
 1.00 3.00 6.00 8.00 35324.54 0.09 0.00 -74.12 -1642.257 3.834
 1.00 3.00 8.00 10.00 13919.80 0.13 0.00 129.10 -215.713 3.834
 1.00 3.00 10.00 12.00 18264.29 0.35 0.00 -120.75 -128.654 3.834
 1.00 3.00 12.00 14.00 13399.76 0.21 0.00 84.64 -50.824 3.834
 1.00 3.00 14.00 5.00 25090.47 0.09 0.00 -23.64 3613.354 3.834
 1.00 3.00 5.00 7.00 24573.03 0.10 0.00 -19.23 -2499.030 3.834
 1.00 3.00 7.00 9.00 35033.28 0.10 0.00 -94.01 -890.704 3.834
 1.00 3.00 9.00 11.00 12066.00 0.12 0.00 198.17 -122.709 3.834
 1.00 3.00 11.00 13.00 15839.91 0.10 0.00 -76.05 -80.544 3.834
 1.00 3.00 13.00 15.00 15867.28 0.85 0.00 -40.93 -57.560 4.787
 1.00 5.00 13.00 17.00 12700.78 0.20 0.00 -31.40 -173.917 4.130
 1.00 5.00 17.00 21.00 15524.95 1.20 0.00 34.12 -85.036 4.130
 1.00 5.00 21.00 25.00 10095.54 0.27 0.00 -21.38 -27.648 4.130
 1.00 5.00 25.00 29.00 9301.44 0.17 0.00 -36.07 -14.556 4.130
 1.00 5.00 29.00 14.00 12380.72 0.22 0.00 71.23 229.772 4.130
 1.00 5.00 14.00 18.00 13951.66 0.24 0.00 -56.89 -147.535 4.130
 1.00 5.00 18.00 22.00 10281.07 0.13 0.00 100.28 -46.594 4.130
 1.00 5.00 22.00 26.00 10940.21 1.11 0.00 -131.30 -25.782 4.130
 1.00 5.00 26.00 30.00 9348.86 1.57 0.00 58.59 -12.915 4.130
 1.00 5.00 15.00 19.00 13033.97 0.24 0.00 -92.47 -108.723 4.127
 1.00 5.00 19.00 23.00 11276.61 0.49 0.00 124.49 -42.757 4.127
 1.00 5.00 23.00 27.00 11413.50 0.46 0.00 11.41 -23.302 4.127
 1.00 5.00 27.00 31.00 11202.75 0.08 0.00 -77.41 -13.723 4.127
 1.00 5.00 31.00 16.00 11770.88 0.09 0.00 128.12 147.796 4.127
 1.00 5.00 16.00 20.00 11873.36 0.37 0.00 -18.87 -79.613 4.127
 1.00 5.00 20.00 24.00 11478.37 0.69 0.00 -57.16 -36.809 4.127
 1.00 5.00 24.00 28.00 12176.84 0.60 0.00 -15.44 -21.694 4.127
 1.00 7.00 27.00 33.00 7750.36 0.06 0.00 9.54 -33.292 6.238
 1.00 7.00 33.00 39.00 5888.25 0.10 0.00 -102.03 -13.312 6.238
 1.00 7.00 39.00 45.00 6742.45 0.07 0.00 22.63 -9.007 6.238
