 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 21106.92 0.30 0.00 -59.01 -4508.284 2.516
 1.00 3.00 6.00 8.00 33253.25 0.37 0.00 -81.97 -1014.665 2.516
 1.00 3.00 8.00 10.00 11968.41 1.07 0.00 51.55 -121.732 2.516
 1.00 3.00 10.00 12.00 14476.95 0.14 0.00 29.46 -66.930 2.516
 1.00 3.00 12.00 14.00 20846.56 0.08 0.00 51.64 -51.896 2.516
 1.00 3.00 14.00 5.00 22622.06 0.40 0.00 -62.79 2138.246 2.516
 1.00 3.00 5.00 7.00 21524.27 0.39 0.00 -31.50 -1436.697 2.516
 1.00 3.00 7.00 9.00 33373.28 0.40 0.00 -50.96 -556.898 2.516
 1.00 3.00 9.00 11.00 9656.81 1.29 0.00 168.61 -64.457 2.516
 1.00 3.00 11.00 13.00 19185.44 0.44 0.00 -73.14 -64.029 2.516
 1.00 3.00 13.00 15.00 15077.18 1.17 0.00 44.15 -30.882 2.703
 1.00 5.00 13.00 17.00 11849.53 1.25 0.00 2.78 -81.240 2.068
 1.00 5.00 17.00 21.00 18214.46 3.38 0.00 -41.40 -49.951 2.068
 1.00 5.00 21.00 25.00 10088.82 0.53 0.00 -27.87 -13.834 2.068
 1.00 5.00 25.00 29.00 9205.63 0.18 0.00 -20.22 -7.213 2.068
 1.00 5.00 29.00 14.00 12179.19 0.22 0.00 138.01 113.169 2.068
 1.00 5.00 14.00 18.00 13729.13 0.19 0.00 -119.91 -72.689 2.068
 1.00 5.00 18.00 22.00 10321.80 0.21 0.00 76.97 -23.421 2.068
 1.00 5.00 22.00 26.00 123.96 520.32 0.00 -36.11 -0.146 2.068
 1.00 5.00 26.00 30.00 24023.12 5.11 0.00 -7.94 -16.616 2.068
 1.00 5.00 15.00 19.00 12799.25 0.57 0.00 91.25 -53.363 2.063
 1.00 5.00 19.00 23.00 12122.48 0.43 0.00 -167.53 -22.974 2.063
 1.00 5.00 23.00 27.00 11138.78 0.17 0.00 -18.52 -11.367 2.063
 1.00 5.00 27.00 31.00 10923.72 0.18 0.00 -37.18 -6.688 2.063
 1.00 5.00 31.00 16.00 11854.96 0.07 0.00 25.38 74.399 2.063
 1.00 5.00 16.00 20.00 10100.75 2.98 0.00 96.66 -33.851 2.063
 1.00 5.00 20.00 24.00 3472.04 45.68 0.00 -98.34 -5.565 2.063
 1.00 5.00 24.00 28.00 33439.10 11.50 0.00 -13.31 -29.776 2.063
 1.00 7.00 27.00 33.00 7184.31 0.06 0.00 27.35 -15.315 3.096
