 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 22025.94 0.17 0.00 -6.69 -6945.859 3.715
 1.00 3.00 6.00 8.00 35449.98 0.20 0.00 -81.17 -1597.017 3.715
 1.00 3.00 8.00 10.00 13979.61 0.52 0.00 152.78 -209.926 3.715
 1.00 3.00 10.00 12.00 18264.56 1.60 0.00 -92.36 -124.669 3.715
 1.00 3.00 12.00 14.00 13768.58 0.61 0.00 56.15 -50.605 3.715
 1.00 3.00 14.00 5.00 25635.30 0.20 0.00 -6.83 3577.412 3.715
 1.00 3.00 5.00 7.00 25663.66 0.19 0.00 -272.88 -2529.066 3.715
 1.00 3.00 7.00 9.00 33700.04 0.18 0.00 142.61 -830.256 3.715
 1.00 3.00 9.00 11.00 12213.57 0.28 0.00 210.79 -120.361 3.715
 1.00 3.00 11.00 13.00 16261.29 0.68 0.00 -95.36 -80.125 3.715
 1.00 3.00 13.00 15.00 15103.67 1.11 0.00 -67.74 -54.276 4.742
 1.00 5.00 13.00 17.00 12970.01 0.09 0.00 -39.07 -189.471 4.406
 1.00 5.00 17.00 21.00 13332.71 0.18 0.00 -5.62 -77.908 4.406
 1.00 5.00 21.00 25.00 9545.94 0.06 0.00 49.99 -27.890 4.406
 1.00 5.00 25.00 29.00 8937.93 0.41 0.00 -26.26 -14.922 4.406
 1.00 5.00 29.00 14.00 11943.18 0.00 0.00 45.02 236.462 4.406
 1.00 5.00 14.00 18.00 13543.84 0.07 0.00 -32.38 -152.792 4.406
 1.00 5.00 18.00 22.00 9919.31 0.09 0.00 77.98 -47.958 4.406
 1.00 5.00 22.00 26.00 12761.74 1.19 0.00 -84.57 -32.084 4.406
 1.00 5.00 26.00 30.00 4452.85 5.02 0.00 19.90 -6.563 4.406
 1.00 5.00 15.00 19.00 13394.19 0.10 0.00 -29.71 -119.009 4.396
 1.00 5.00 19.00 23.00 9428.70 0.77 0.00 96.55 -38.080 4.396
