 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 22079.35 0.31 0.00 -53.88 -6153.230 3.283
 1.00 3.00 6.00 8.00 34309.25 0.32 0.00 -68.76 -1365.935 3.283
 1.00 3.00 8.00 10.00 13364.86 0.55 0.00 74.35 -177.362 3.283
 1.00 3.00 10.00 12.00 17395.34 0.36 0.00 -72.10 -104.932 3.283
 1.00 3.00 12.00 14.00 15311.65 0.38 0.00 60.85 -49.734 3.283
 1.00 3.00 14.00 5.00 24152.26 0.33 0.00 -6.29 2978.610 3.283
 1.00 3.00 5.00 7.00 23283.98 0.32 0.00 -57.28 -2027.796 3.283
 1.00 3.00 7.00 9.00 34664.49 0.33 0.00 -40.41 -754.730 3.283
 1.00 3.00 9.00 11.00 11864.76 0.57 0.00 180.77 -103.330 3.283
 1.00 3.00 11.00 13.00 16660.04 0.50 0.00 -51.89 -72.546 3.283
 1.00 3.00 13.00 15.00 13714.41 0.89 0.00 -13.99 -40.941 3.939
 1.00 5.00 13.00 17.00 12164.95 0.33 0.00 -40.94 -136.397 3.382
 1.00 5.00 17.00 21.00 15527.19 1.79 0.00 5.70 -69.638 3.382
 1.00 5.00 21.00 25.00 9637.07 0.33 0.00 48.48 -21.611 3.382
 1.00 5.00 25.00 29.00 8962.20 0.32 0.00 -113.77 -11.484 3.382
 1.00 5.00 29.00 14.00 11812.05 0.23 0.00 78.20 179.498 3.382
 1.00 5.00 14.00 18.00 13276.01 0.21 0.00 -88.39 -114.952 3.382
 1.00 5.00 18.00 22.00 10018.67 0.23 0.00 137.25 -37.178 3.382
 1.00 5.00 22.00 26.00 8846.37 1.47 0.00 -160.51 -17.070 3.382
 1.00 5.00 26.00 30.00 10490.07 1.04 0.00 94.72 -11.866 3.382
 1.00 5.00 15.00 19.00 13202.50 0.49 0.00 -123.45 -89.862 3.368
 1.00 5.00 19.00 23.00 11291.79 1.61 0.00 82.58 -34.935 3.368
 1.00 5.00 23.00 27.00 10626.68 0.35 0.00 -14.74 -17.703 3.368
 1.00 5.00 27.00 31.00 10856.18 0.30 0.00 -43.51 -10.851 3.368
 1.00 5.00 31.00 16.00 11626.38 0.20 0.00 148.80 119.117 3.368
 1.00 5.00 16.00 20.00 12082.48 0.73 0.00 -36.55 -66.106 3.368
 1.00 5.00 20.00 24.00 11155.23 1.40 0.00 -67.36 -29.190 3.368
 1.00 5.00 24.00 28.00 11139.27 1.27 0.00 8.07 -16.193 3.368
 1.00 7.00 27.00 33.00 7371.33 0.09 0.00 62.27 -23.849 4.698
 1.00 7.00 33.00 39.00 6589.13 0.29 0.00 3.61 -11.220 4.698
 1.00 7.00 39.00 45.00 7109.63 0.06 0.00 -121.37 -7.154 4.698
 1.00 7.00 45.00 28.00 6927.86 0.03 0.00 63.55 36.227 4.698
 1.00 7.00 28.00 34.00 6403.07 0.08 0.00 -38.07 -18.423 4.698
 1.00 7.00 34.00 40.00 7923.67 0.26 0.00 20.12 -12.276 4.698
 1.00 7.00 40.00 46.00 6807.74 0.14 0.00 50.98 -6.328 4.698
 1.00 7.00 46.00 29.00 7033.43 0.07 0.00 -68.60 33.245 4.698
 1.00 7.00 29.00 35.00 6955.35 0.03 0.00 -15.78 -17.879 4.698
 1.00 7.00 35.00 41.00 6946.05 0.27 0.00 23.50 -9.820 4.698
 1.00 7.00 41.00 47.00 10438.71 2.54 0.00 131.50 -8.935 4.673
 1.00 7.00 47.00 30.00 7229.00 0.70 0.00 -79.46 30.831 4.673
 1.00 7.00 30.00 36.00 5900.93 0.06 0.00 -83.70 -13.535 4.673
 1.00 7.00 36.00 42.00 7078.92 0.82 0.00 77.79 -9.108 4.673
 1.00 7.00 42.00 31.00 4654.31 0.86 0.00 -67.80 14.372 4.673
 1.00 7.00 31.00 37.00 4002.66 0.13 0.00 -12.02 -8.269 4.673
 1.00 7.00 37.00 43.00 6901.69 0.15 0.00 100.58 -8.147 4.673
 1.00 7.00 43.00 32.00 5850.38 0.11 0.00 18.25 16.419 4.673
 1.00 7.00 32.00 38.00 4881.65 0.08 0.00 -94.86 -9.116 4.673
 1.00 7.00 38.00 44.00 7844.64 0.04 0.00 21.08 -8.517 4.673
 1.00 9.00 41.00 49.00 18646.96 2.26 0.00 62.09 -50.155 8.112
 1.00 9.00 49.00 57.00 7322.79 12.42 0.00 12.90 -11.255 8.112
 1.00 9.00 57.00 42.00 13912.47 0.58 0.00 -27.32 52.747 8.112
 1.00 9.00 42.00 50.00 13308.62 0.68 0.00 52.10 -33.174 8.112
 1.00 9.00 50.00 58.00 14993.75 0.91 0.00 20.88 -21.638 8.112
 1.00 9.00 58.00 43.00 14784.74 0.79 0.00 -53.74 52.262 8.112
 1.00 9.00 43.00 51.00 14993.96 0.79 0.00 -55.04 -34.704 8.112
 1.00 9.00 51.00 59.00 14252.60 1.09 0.00 89.86 -19.338 8.112
 1.00 9.00 59.00 44.00 14693.55 0.93 0.00 -90.26 48.507 8.112
 1.00 9.00 44.00 52.00 14907.11 1.00 0.00 43.24 -32.096 8.112
 1.00 9.00 52.00 60.00 612940.56 1.34 0.00 114.83 -783.427 8.118
 1.00 9.00 60.00 45.00 261723.75 1.27 0.00 -200.83 808.782 8.118
 1.00 9.00 45.00 53.00 14806.45 0.23 0.00 64.82 -29.728 8.118
 1.00 9.00 53.00 61.00 10158.84 0.84 0.00 54.22 -12.238 8.118
 1.00 9.00 61.00 46.00 13499.84 0.44 0.00 -22.87 39.082 8.118
 1.00 9.00 46.00 54.00 14331.39 0.69 0.00 -19.82 -26.858 8.118
 1.00 9.00 54.00 62.00 -16432.92 7.07 0.00 -52.77 18.680 8.118
 1.00 9.00 62.00 47.00 2416.26 18.80 0.00 140.48 6.563 8.118
 1.00 9.00 47.00 55.00 19362.13 0.42 0.00 -37.29 -33.923 8.118
 1.00 9.00 55.00 63.00 -34596.76 7.43 0.00 -66.30 37.150 8.118
 1.00 9.00 48.00 56.00 21995.66 0.26 0.00 129.93 -36.082 8.118
 2.00 4.00 5.00 7.00 14417.85 1.84 0.00 19.57 -62.994 0.051
 2.00 4.00 14.00 16.00 14034.29 0.09 0.00 56.87 -40.105 3.771
 2.00 4.00 7.00 9.00 47047.16 0.25 0.00 24.32 -1944.545 3.409
 2.00 4.00 9.00 11.00 15326.64 0.08 0.00 -32.14 -211.159 3.409
 2.00 4.00 11.00 13.00 20855.50 0.14 0.00 -55.59 -130.605 3.409
 2.00 4.00 13.00 15.00 17389.69 1.39 0.00 -14.50 -58.639 3.409
 2.00 4.00 15.00 6.00 36065.78 0.25 0.00 3.13 4617.605 3.409
 2.00 4.00 6.00 8.00 43216.07 0.25 0.00 -68.70 -3907.309 3.409
 2.00 4.00 8.00 10.00 18559.72 0.26 0.00 85.74 -419.512 3.409
 2.00 4.00 10.00 12.00 20253.36 0.08 0.00 -85.42 -183.118 3.409
 2.00 4.00 12.00 14.00 19533.75 0.17 0.00 60.11 -88.306 3.409
 2.00 6.00 14.00 18.00 12633.69 0.24 0.00 -89.27 -279.629 6.675
 2.00 6.00 18.00 22.00 9191.53 0.09 0.00 137.19 -81.377 6.675
 2.00 6.00 22.00 26.00 10233.44 1.20 0.00 -159.78 -45.301 6.675
 2.00 6.00 26.00 30.00 6777.94 3.80 0.00 92.79 -17.145 6.675
 2.00 6.00 30.00 15.00 11663.74 0.18 0.00 27.38 349.888 6.675
 2.00 6.00 15.00 19.00 13492.50 0.14 0.00 -125.00 -230.622 6.675
 2.00 6.00 19.00 23.00 9481.42 0.25 0.00 82.72 -69.455 6.675
 2.00 6.00 23.00 27.00 9288.43 0.22 0.00 -14.23 -35.382 6.675
 2.00 6.00 27.00 31.00 10102.54 0.23 0.00 -43.28 -22.559 6.675
 2.00 6.00 16.00 20.00 12382.01 0.04 0.00 -34.49 -166.983 6.673
 2.00 6.00 20.00 24.00 9454.19 0.11 0.00 -70.06 -57.954 6.673
 2.00 6.00 24.00 28.00 9311.74 0.42 0.00 8.83 -30.736 6.673
 2.00 6.00 28.00 32.00 8377.80 0.13 0.00 53.93 -16.592 6.673
 2.00 6.00 32.00 17.00 11041.46 0.14 0.00 -32.80 224.137 6.673
 2.00 6.00 17.00 21.00 13100.16 0.18 0.00 9.80 -142.010 6.673
 2.00 6.00 21.00 25.00 8529.56 0.04 0.00 47.22 -44.222 6.673
 2.00 6.00 25.00 29.00 10265.04 0.12 0.00 -113.85 -29.566 6.673
 2.00 8.00 28.00 34.00 8474.74 0.06 0.00 -37.36 -32.341 5.542
 2.00 8.00 34.00 40.00 10319.31 0.17 0.00 18.28 -20.726 5.542
 2.00 8.00 40.00 46.00 9035.95 0.19 0.00 50.86 -10.724 5.542
 2.00 8.00 46.00 29.00 9247.67 0.04 0.00 -69.17 57.039 5.542
 2.00 8.00 29.00 35.00 9029.11 0.02 0.00 -15.09 -30.643 5.542
 2.00 8.00 35.00 41.00 9397.80 0.06 0.00 23.69 -17.174 5.542
 2.00 8.00 41.00 47.00 10945.45 0.67 0.00 129.01 -12.001 5.542
 2.00 8.00 47.00 30.00 8910.77 0.62 0.00 -76.45 49.680 5.542
 2.00 8.00 30.00 36.00 7989.92 1.60 0.00 -83.49 -24.225 5.542
 2.00 8.00 36.00 42.00 9524.36 1.18 0.00 78.20 -15.883 5.542
 2.00 8.00 42.00 48.00 12405.49 1.47 0.00 -58.81 -12.559 5.527
