 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 20652.57 0.00 0.00 -41.80 -6617.490 3.775
 1.00 3.00 6.00 8.00 33776.70 0.00 0.00 -41.78 -1546.103 3.775
 1.00 3.00 8.00 10.00 13454.15 0.41 0.00 64.62 -205.284 3.775
 1.00 3.00 10.00 12.00 18657.41 0.30 0.00 -76.91 -129.398 3.775
 1.00 3.00 12.00 14.00 11623.88 0.73 0.00 44.74 -43.409 3.775
 1.00 3.00 14.00 5.00 23125.92 0.00 0.00 23.14 3279.119 3.775
 1.00 3.00 5.00 7.00 21927.64 0.04 0.00 -49.26 -2195.640 3.775
 1.00 3.00 7.00 9.00 34580.95 0.05 0.00 -103.71 -865.658 3.775
 1.00 3.00 9.00 11.00 10963.94 0.30 0.00 239.14 -109.783 3.775
 1.00 3.00 11.00 13.00 16259.22 1.47 0.00 -113.50 -81.403 3.775
 1.00 3.00 13.00 15.00 19202.96 2.19 0.00 73.54 -55.061 3.783
 1.00 5.00 13.00 17.00 14872.97 0.13 0.00 36.03 -140.597 2.851
 1.00 5.00 17.00 21.00 15593.09 0.44 0.00 -14.51 -58.962 2.851
 1.00 5.00 21.00 25.00 11445.53 0.17 0.00 -103.83 -21.639 2.851
 1.00 5.00 25.00 29.00 9567.24 0.47 0.00 49.91 -10.336 2.851
 1.00 5.00 29.00 14.00 13238.26 0.04 0.00 38.14 169.609 2.851
 1.00 5.00 14.00 18.00 15165.33 0.08 0.00 -69.11 -110.710 2.851
 1.00 5.00 18.00 22.00 10388.88 0.03 0.00 18.39 -32.503 2.851
 1.00 5.00 22.00 26.00 -1311.36 98.28 0.00 36.39 2.133 2.851
 1.00 5.00 26.00 30.00 31948.78 6.88 0.00 -54.57 -30.470 2.851
 1.00 5.00 15.00 19.00 13558.74 0.79 0.00 -215.90 -77.720 2.836
 1.00 5.00 19.00 23.00 11376.44 0.61 0.00 109.50 -29.641 2.836
 1.00 5.00 23.00 27.00 13003.65 0.27 0.00 35.04 -18.244 2.836
 1.00 5.00 27.00 31.00 10378.46 1.10 0.00 -62.19 -8.736 2.836
 1.00 5.00 31.00 16.00 12162.36 0.70 0.00 118.48 104.940 2.836
