 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 21368.62 0.25 0.00 -20.10 -5095.682 2.809
 1.00 3.00 6.00 8.00 33416.60 0.25 0.00 -93.06 -1138.388 2.809
 1.00 3.00 8.00 10.00 12354.09 0.52 0.00 44.54 -140.287 2.809
 1.00 3.00 10.00 12.00 15462.37 0.41 0.00 -16.03 -79.811 2.809
 1.00 3.00 12.00 14.00 18660.74 0.39 0.00 85.83 -51.864 2.809
 1.00 3.00 14.00 5.00 23181.97 0.25 0.00 -57.81 2446.332 2.809
 1.00 3.00 5.00 7.00 22251.25 0.25 0.00 31.11 -1658.175 2.809
 1.00 3.00 7.00 9.00 33589.41 0.25 0.00 -109.84 -625.775 2.809
 1.00 3.00 9.00 11.00 10478.89 0.60 0.00 153.18 -78.089 2.809
 1.00 3.00 11.00 13.00 17843.85 0.30 0.00 -90.15 -66.487 2.809
 1.00 3.00 13.00 15.00 14371.98 1.93 0.00 55.74 -34.576 3.174
 1.00 5.00 13.00 17.00 12199.16 0.25 0.00 56.42 -105.665 2.612
 1.00 5.00 17.00 21.00 16338.09 1.73 0.00 4.85 -56.606 2.612
 1.00 5.00 21.00 25.00 9560.41 0.56 0.00 -10.94 -16.562 2.612
 1.00 5.00 25.00 29.00 9034.35 0.27 0.00 -69.79 -8.943 2.612
 1.00 5.00 29.00 14.00 11951.78 0.23 0.00 95.40 140.304 2.612
 1.00 5.00 14.00 18.00 13574.38 0.58 0.00 -75.56 -90.798 2.612
 1.00 5.00 18.00 22.00 9917.25 1.20 0.00 67.32 -28.430 2.612
 1.00 5.00 22.00 26.00 3709.18 14.66 0.00 -71.63 -5.529 2.612
 1.00 5.00 26.00 30.00 18906.02 5.10 0.00 35.07 -16.521 2.612
 1.00 5.00 15.00 19.00 13114.74 0.29 0.00 -133.30 -69.062 2.606
 1.00 5.00 19.00 23.00 11235.77 0.74 0.00 109.70 -26.894 2.606
 1.00 5.00 23.00 27.00 10483.99 0.30 0.00 -1.49 -13.513 2.606
 1.00 5.00 27.00 31.00 10848.81 0.34 0.00 -68.09 -8.390 2.606
 1.00 5.00 31.00 16.00 11683.24 0.10 0.00 74.10 92.609 2.606
 1.00 5.00 16.00 20.00 12077.46 0.81 0.00 13.29 -51.124 2.606
 1.00 5.00 20.00 24.00 10766.31 1.21 0.00 -34.20 -21.796 2.606
 1.00 5.00 24.00 28.00 11997.70 1.64 0.00 -55.05 -13.494 2.606
 1.00 7.00 27.00 33.00 7239.43 0.06 0.00 -17.61 -18.336 3.678
 1.00 7.00 33.00 39.00 6606.69 0.50 0.00 53.17 -8.807 3.678
 1.00 7.00 39.00 45.00 7297.77 0.09 0.00 -108.53 -5.748 3.678
 1.00 7.00 45.00 28.00 6930.73 0.13 0.00 1.40 28.372 3.678
 1.00 7.00 28.00 34.00 6337.05 0.28 0.00 4.87 -14.274 3.678
 1.00 7.00 34.00 40.00 8029.19 0.22 0.00 14.72 -9.738 3.678
 1.00 7.00 40.00 46.00 6865.21 0.16 0.00 39.96 -4.996 3.678
 1.00 7.00 46.00 29.00 7059.76 0.20 0.00 -34.78 26.123 3.678
 1.00 7.00 29.00 35.00 6938.13 0.28 0.00 -38.22 -13.961 3.678
 1.00 7.00 35.00 41.00 6977.10 0.29 0.00 50.96 -7.722 3.678
 1.00 7.00 41.00 47.00 8314.33 20.33 0.00 50.95 -5.586 3.668
 1.00 7.00 47.00 30.00 6794.08 5.00 0.00 -14.84 22.745 3.668
 1.00 7.00 30.00 36.00 5783.21 0.38 0.00 -95.15 -10.413 3.668
 1.00 7.00 36.00 42.00 6031.38 1.01 0.00 55.03 -6.092 3.668
 1.00 7.00 42.00 31.00 4168.81 0.91 0.00 -27.71 10.105 3.668
 1.00 7.00 31.00 37.00 4030.22 0.56 0.00 -8.13 -6.536 3.668
 1.00 7.00 37.00 43.00 6980.21 0.06 0.00 88.48 -6.468 3.668
 1.00 7.00 43.00 32.00 5892.75 0.23 0.00 88.53 12.982 3.668
 1.00 7.00 32.00 38.00 4931.45 0.35 0.00 -79.39 -7.229 3.668
 1.00 7.00 38.00 44.00 7869.02 0.25 0.00 -67.00 -6.706 3.668
 1.00 9.00 41.00 49.00 28014.10 5.64 0.00 40.46 -65.030 7.001
 1.00 9.00 49.00 57.00 -9317.82 26.83 0.00 20.74 12.360 7.001
 1.00 9.00 57.00 42.00 13955.91 2.52 0.00 -62.83 45.665 7.001
 1.00 9.00 42.00 50.00 12815.07 1.46 0.00 67.81 -27.569 7.001
 1.00 9.00 50.00 58.00 15902.69 3.34 0.00 29.13 -19.806 7.001
 1.00 9.00 58.00 43.00 14644.73 0.44 0.00 -46.52 44.677 7.001
 1.00 9.00 43.00 51.00 14889.16 0.42 0.00 21.61 -29.741 7.001
 1.00 9.00 51.00 59.00 13934.92 0.28 0.00 15.66 -16.317 7.001
 1.00 9.00 59.00 44.00 14461.42 0.18 0.00 -95.05 41.202 7.001
 1.00 9.00 44.00 52.00 14707.41 0.50 0.00 48.93 -27.329 7.001
 1.00 9.00 52.00 60.00 1106649.13 0.53 0.00 169.23 -1218.453 6.993
 1.00 9.00 60.00 45.00 464368.41 0.53 0.00 -242.86 1236.147 6.993
 1.00 9.00 45.00 53.00 13564.95 0.29 0.00 33.97 -23.461 6.993
 1.00 9.00 53.00 61.00 6586.07 0.41 0.00 65.29 -6.835 6.993
 1.00 9.00 61.00 46.00 11247.09 0.32 0.00 -38.97 28.048 6.993
 1.00 9.00 46.00 54.00 11786.61 0.55 0.00 28.77 -19.028 6.993
 1.00 9.00 54.00 62.00 -25405.94 9.69 0.00 -69.39 24.877 6.993
 1.00 9.00 62.00 47.00 -1146.97 86.69 0.00 63.47 -2.684 6.993
 1.00 9.00 47.00 55.00 21448.70 0.14 0.00 40.71 -32.371 6.993
 1.00 9.00 55.00 63.00 -40804.79 10.81 0.00 -82.72 37.745 6.993
 1.00 9.00 48.00 56.00 24066.12 0.43 0.00 70.80 -33.934 6.978
 2.00 4.00 5.00 7.00 13902.99 1.44 0.00 144.42 -54.460 0.046
 2.00 4.00 14.00 16.00 13226.60 0.41 0.00 -15.62 -30.433 3.036
 2.00 4.00 7.00 9.00 47255.47 0.28 0.00 -84.97 -1731.878 3.022
 2.00 4.00 9.00 11.00 14785.90 0.65 0.00 -56.72 -180.631 3.022
 2.00 4.00 11.00 13.00 23220.68 0.57 0.00 -95.31 -128.943 3.022
 2.00 4.00 13.00 15.00 16881.13 1.44 0.00 54.14 -50.475 3.022
 2.00 4.00 15.00 6.00 36527.66 0.27 0.00 3.74 4146.905 3.022
 2.00 4.00 6.00 8.00 43897.41 0.27 0.00 -92.20 -3519.267 3.022
 2.00 4.00 8.00 10.00 18250.88 0.27 0.00 54.55 -365.794 3.022
 2.00 4.00 10.00 12.00 18336.95 0.74 0.00 -27.04 -147.008 3.022
 2.00 4.00 12.00 14.00 24122.76 0.10 0.00 86.09 -96.696 3.022
 2.00 6.00 14.00 18.00 12518.13 0.12 0.00 -77.77 -239.380 5.767
 2.00 6.00 18.00 22.00 9262.51 0.07 0.00 66.72 -70.850 5.767
 2.00 6.00 22.00 26.00 10941.15 2.64 0.00 -74.11 -41.845 5.767
 2.00 6.00 26.00 30.00 5447.67 8.92 0.00 38.25 -11.906 5.767
 2.00 6.00 30.00 15.00 11498.14 0.10 0.00 24.35 297.999 5.767
 2.00 6.00 15.00 19.00 13283.40 0.15 0.00 -135.78 -196.161 5.767
 2.00 6.00 19.00 23.00 9369.21 0.10 0.00 111.91 -59.297 5.767
 2.00 6.00 23.00 27.00 9152.03 0.06 0.00 0.06 -30.120 5.767
 2.00 6.00 27.00 31.00 9958.63 0.08 0.00 -69.07 -19.212 5.767
 2.00 6.00 16.00 20.00 12283.08 0.24 0.00 -16.41 -142.533 5.742
 2.00 6.00 20.00 24.00 9321.36 0.40 0.00 -39.35 -49.166 5.742
 2.00 6.00 24.00 28.00 9685.63 0.41 0.00 -55.26 -27.509 5.742
 2.00 6.00 28.00 32.00 8270.69 0.13 0.00 169.27 -14.094 5.742
 2.00 6.00 32.00 17.00 11159.34 0.15 0.00 -74.11 194.919 5.742
 2.00 6.00 17.00 21.00 13379.79 0.20 0.00 8.57 -124.802 5.742
 2.00 6.00 21.00 25.00 8446.52 0.19 0.00 -8.30 -37.680 5.742
 2.00 6.00 25.00 29.00 10399.27 0.04 0.00 -67.53 -25.773 5.742
 2.00 8.00 28.00 34.00 8583.21 0.94 0.00 7.45 -28.516 4.824
 2.00 8.00 34.00 40.00 10438.62 0.25 0.00 13.61 -18.253 4.824
 2.00 8.00 40.00 46.00 9197.49 0.08 0.00 39.93 -9.503 4.824
 2.00 8.00 46.00 29.00 9353.65 0.09 0.00 -34.39 50.227 4.824
 2.00 8.00 29.00 35.00 9064.75 0.02 0.00 -37.62 -26.783 4.824
 2.00 8.00 35.00 41.00 9599.31 0.06 0.00 50.34 -15.272 4.824
 2.00 8.00 41.00 47.00 11027.00 0.77 0.00 46.61 -10.526 4.824
 2.00 8.00 47.00 30.00 8951.39 0.18 0.00 -10.94 43.448 4.824
 2.00 8.00 30.00 36.00 7976.63 0.00 0.00 -93.67 -21.055 4.824
 2.00 8.00 36.00 42.00 9234.27 3.33 0.00 57.05 -13.406 4.824
 2.00 8.00 42.00 48.00 13264.95 3.24 0.00 34.96 -11.710 4.819
 2.00 8.00 48.00 31.00 7897.54 0.08 0.00 -67.24 34.738 4.819
 2.00 8.00 31.00 37.00 5396.24 0.28 0.00 -6.38 -12.765 4.819
 2.00 8.00 37.00 43.00 9346.48 0.19 0.00 88.10 -12.403 4.819
 2.00 8.00 43.00 32.00 7886.40 0.22 0.00 82.52 25.116 4.819
 2.00 8.00 32.00 38.00 6542.40 0.32 0.00 -72.77 -13.939 4.819
 2.00 8.00 38.00 44.00 10834.39 0.29 0.00 -66.62 -13.191 4.819
 2.00 8.00 44.00 33.00 9468.80 0.29 0.00 23.53 27.407 4.819
 2.00 8.00 33.00 39.00 9093.32 0.26 0.00 58.13 -17.513 4.819
 2.00 8.00 39.00 45.00 9360.71 0.18 0.00 -108.14 -10.481 4.819
 2.00 10.00 42.00 50.00 14389.15 4.83 0.00 74.41 -19.742 4.138
 2.00 10.00 50.00 58.00 18830.26 7.02 0.00 21.96 -14.763 4.138
 2.00 10.00 58.00 43.00 15747.98 0.15 0.00 -46.47 30.456 4.138
 2.00 10.00 43.00 51.00 15945.34 0.06 0.00 21.83 -20.275 4.138
 2.00 10.00 51.00 59.00 14668.86 0.27 0.00 14.34 -10.798 4.138
