 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 23076.74 0.07 0.00 -13.11 -6946.069 3.546
 1.00 3.00 6.00 8.00 35366.66 0.07 0.00 122.15 -1520.760 3.546
 1.00 3.00 8.00 10.00 13892.34 0.21 0.00 -81.57 -199.123 3.546
 1.00 3.00 10.00 12.00 18153.67 0.31 0.00 -127.63 -118.274 3.546
 1.00 3.00 12.00 14.00 14123.19 0.15 0.00 -6.28 -49.546 3.546
 1.00 3.00 14.00 5.00 25018.63 0.06 0.00 67.09 3332.478 3.546
 1.00 3.00 5.00 7.00 24408.11 0.06 0.00 -4.86 -2295.879 3.546
 1.00 3.00 7.00 9.00 35176.73 0.05 0.00 -100.51 -827.199 3.546
 1.00 3.00 9.00 11.00 12039.76 0.16 0.00 194.15 -113.249 3.546
 1.00 3.00 11.00 13.00 15772.54 0.16 0.00 -82.69 -74.180 3.546
 1.00 3.00 13.00 15.00 15980.19 0.97 0.00 -27.11 -57.516 4.749
 1.00 5.00 13.00 17.00 12686.38 0.37 0.00 -25.07 -170.467 4.053
 1.00 5.00 17.00 21.00 15275.76 1.15 0.00 54.01 -82.105 4.053
 1.00 5.00 21.00 25.00 9940.33 0.09 0.00 -47.55 -26.714 4.053
 1.00 5.00 25.00 29.00 9199.32 0.07 0.00 -37.56 -14.127 4.053
 1.00 5.00 29.00 14.00 12101.69 0.06 0.00 -14.97 220.389 4.053
 1.00 5.00 14.00 18.00 13551.24 0.06 0.00 19.55 -140.618 4.053
 1.00 5.00 18.00 22.00 10202.64 0.07 0.00 112.25 -45.373 4.053
 1.00 5.00 22.00 26.00 10545.84 0.74 0.00 -138.96 -24.388 4.053
 1.00 5.00 26.00 30.00 9470.94 1.07 0.00 57.94 -12.839 4.053
 1.00 5.00 15.00 19.00 13156.49 0.29 0.00 -99.72 -107.560 4.045
 1.00 5.00 19.00 23.00 11173.78 0.43 0.00 106.76 -41.523 4.045
 1.00 5.00 23.00 27.00 11194.17 0.30 0.00 30.01 -22.399 4.045
 1.00 5.00 27.00 31.00 11083.38 0.09 0.00 -91.52 -13.307 4.045
 1.00 5.00 31.00 16.00 11737.77 0.03 0.00 143.35 144.445 4.045
 1.00 5.00 16.00 20.00 12117.54 0.44 0.00 -41.16 -79.632 4.045
 1.00 5.00 20.00 24.00 11094.42 0.63 0.00 -19.27 -34.869 4.045
 1.00 5.00 24.00 28.00 11832.47 0.51 0.00 -46.55 -20.660 4.045
 1.00 7.00 27.00 33.00 7651.64 0.07 0.00 33.22 -31.667 6.010
 1.00 7.00 33.00 39.00 6180.11 0.04 0.00 -119.50 -13.462 6.010
 1.00 7.00 39.00 45.00 6817.77 0.11 0.00 4.30 -8.775 6.010
 1.00 7.00 45.00 28.00 6873.60 0.03 0.00 25.35 45.978 6.010
 1.00 7.00 28.00 34.00 6615.98 0.06 0.00 -4.24 -24.350 6.010
